,year,team,final_w,final_l,final_t,playoffs
179,1990,MIA,13,5,0,y
180,1990,MIN,6,10,0,n
181,1990,NYG,16,3,0,y
182,1990,NYJ,6,10,0,n
183,1990,NEP,1,15,0,n
184,1990,NOS,8,9,0,y
185,1990,PHL,10,7,0,y
186,1990,PIT,9,7,0,n
187,1990,SFF,15,3,0,y
188,1990,SEA,9,7,0,n
189,1990,TBB,6,10,0,n
190,1990,TEN,9,8,0,y
191,1990,WSH,11,7,0,y
192,1991,ARZ,4,12,0,n
193,1991,ATL,11,7,0,y
194,1991,BAL,0,0,0,n
195,1991,BUF,15,4,0,y
196,1991,CAR,0,0,0,n
197,1991,CHI,11,6,0,y
198,1991,CIN,3,13,0,n
199,1991,CLE,6,10,0,n
200,1991,DAL,12,6,0,y
201,1991,DEN,13,5,0,y
202,1991,DET,13,5,0,y
203,1991,GBP,4,12,0,n
204,1991,HOU,0,0,0,n
205,1991,IND,1,15,0,n
206,1991,JAX,0,0,0,n
207,1991,KCC,11,7,0,y
208,1991,LAC,4,12,0,n
209,1991,LAR,3,13,0,n
210,1991,LVR,9,8,0,y
211,1991,MIA,8,8,0,n
212,1991,MIN,8,8,0,n
213,1991,NYG,8,8,0,n
214,1991,NYJ,8,9,0,y
215,1991,NEP,6,10,0,n
216,1991,NOS,11,6,0,y
217,1991,PHL,10,6,0,n
218,1991,PIT,7,9,0,n
219,1991,SFF,10,6,0,n
220,1991,SEA,7,9,0,n
221,1991,TBB,3,13,0,n
222,1991,TEN,12,6,0,y
223,1991,WSH,17,2,0,y
224,1992,ARZ,4,12,0,n
225,1992,ATL,6,10,0,n
226,1992,BAL,0,0,0,n
227,1992,BUF,14,6,0,y
228,1992,CAR,0,0,0,n
229,1992,CHI,5,11,0,n
230,1992,CIN,5,11,0,n
231,1992,CLE,7,9,0,n
232,1992,DAL,16,3,0,y
233,1992,DEN,8,8,0,n
234,1992,DET,5,11,0,n
235,1992,GBP,9,7,0,n
236,1992,HOU,0,0,0,n
237,1992,IND,9,7,0,n
238,1992,JAX,0,0,0,n
239,1992,KCC,10,7,0,y
240,1992,LAC,12,6,0,y
241,1992,LAR,6,10,0,n
242,1992,LVR,7,9,0,n
243,1992,MIA,12,6,0,y
244,1992,MIN,11,6,0,y
245,1992,NYG,6,10,0,n
246,1992,NYJ,4,12,0,n
247,1992,NEP,2,14,0,n
248,1992,NOS,12,5,0,y
249,1992,PHL,12,6,0,y
250,1992,PIT,11,6,0,y
251,1992,SFF,15,3,0,y
252,1992,SEA,2,14,0,n
253,1992,TBB,5,11,0,n
254,1992,TEN,10,7,0,y
255,1992,WSH,10,8,0,y
256,1993,ARZ,7,9,0,n
257,1993,ATL,6,10,0,n
258,1993,BAL,0,0,0,n
259,1993,BUF,14,5,0,y
260,1993,CAR,0,0,0,n
261,1993,CHI,7,9,0,n
262,1993,CIN,3,13,0,n
263,1993,CLE,7,9,0,n
264,1993,DAL,15,4,0,y
265,1993,DEN,9,8,0,y
266,1993,DET,10,7,0,y
267,1993,GBP,10,8,0,y
268,1993,HOU,0,0,0,n
269,1993,IND,4,12,0,n
270,1993,JAX,0,0,0,n
271,1993,KCC,13,6,0,y
272,1993,LAC,8,8,0,n
273,1993,LAR,5,11,0,n
274,1993,LVR,11,7,0,y
275,1993,MIA,9,7,0,n
276,1993,MIN,9,8,0,y
277,1993,NYG,12,6,0,y
278,1993,NYJ,8,8,0,n
279,1993,NEP,5,11,0,n
280,1993,NOS,8,8,0,n
281,1993,PHL,8,8,0,n
282,1993,PIT,9,8,0,y
283,1993,SFF,11,7,0,y
284,1993,SEA,6,10,0,n
285,1993,TBB,5,11,0,n
286,1993,TEN,12,5,0,y
287,1993,WSH,4,12,0,n
288,1994,ARZ,8,8,0,n
289,1994,ATL,7,9,0,n
290,1994,BAL,0,0,0,n
291,1994,BUF,7,9,0,n
292,1994,CAR,0,0,0,n
293,1994,CHI,10,8,0,y
294,1994,CIN,3,13,0,n
295,1994,CLE,12,6,0,y
296,1994,DAL,13,5,0,y
297,1994,DEN,7,9,0,n
298,1994,DET,9,8,0,y
299,1994,GBP,10,8,0,y
300,1994,HOU,0,0,0,n
301,1994,IND,8,8,0,n
302,1994,JAX,0,0,0,n
303,1994,KCC,9,8,0,y
304,1994,LAC,13,6,0,y
305,1994,LAR,4,12,0,n
306,1994,LVR,9,7,0,n
307,1994,MIA,11,7,0,y
308,1994,MIN,10,7,0,y
309,1994,NYG,9,7,0,n
310,1994,NYJ,6,10,0,n
311,1994,NEP,10,7,0,y
312,1994,NOS,7,9,0,n
313,1994,PHL,7,9,0,n
314,1994,PIT,13,5,0,y
315,1994,SFF,16,3,0,y
316,1994,SEA,6,10,0,n
317,1994,TBB,6,10,0,n
318,1994,TEN,2,14,0,n
319,1994,WSH,3,13,0,n
320,1995,ARZ,4,12,0,n
321,1995,ATL,9,8,0,y
322,1995,BAL,0,0,0,n
323,1995,BUF,11,7,0,y
324,1995,CAR,7,9,0,n
325,1995,CHI,9,7,0,n
326,1995,CIN,7,9,0,n
327,1995,CLE,5,11,0,n
328,1995,DAL,15,4,0,y
329,1995,DEN,8,8,0,n
330,1995,DET,10,7,0,y
331,1995,GBP,13,6,0,y
332,1995,HOU,0,0,0,n
333,1995,IND,11,8,0,y
334,1995,JAX,4,12,0,n
335,1995,KCC,13,4,0,y
336,1995,LAC,9,8,0,y
337,1995,LAR,7,9,0,n
338,1995,LVR,8,8,0,n
339,1995,MIA,9,8,0,y
340,1995,MIN,8,8,0,n
341,1995,NYG,5,11,0,n
342,1995,NYJ,3,13,0,n
343,1995,NEP,6,10,0,n
344,1995,NOS,7,9,0,n
345,1995,PHL,11,7,0,y
346,1995,PIT,13,6,0,y
347,1995,SFF,11,6,0,y
348,1995,SEA,8,8,0,n
349,1995,TBB,7,9,0,n
350,1995,TEN,7,9,0,n
351,1995,WSH,6,10,0,n
352,1996,ARZ,7,9,0,n
353,1996,ATL,3,13,0,n
354,1996,BAL,4,12,0,n
355,1996,BUF,10,7,0,y
356,1996,CAR,13,5,0,y
357,1996,CHI,7,9,0,n
358,1996,CIN,8,8,0,n
359,1996,CLE,0,0,0,n
360,1996,DAL,11,7,0,y
361,1996,DEN,13,4,0,y
362,1996,DET,5,11,0,n
363,1996,GBP,16,3,0,y
364,1996,HOU,0,0,0,n
365,1996,IND,9,8,0,y
366,1996,JAX,11,8,0,y
367,1996,KCC,9,7,0,n
368,1996,LAC,8,8,0,n
369,1996,LAR,6,10,0,n
370,1996,LVR,7,9,0,n
371,1996,MIA,8,8,0,n
372,1996,MIN,9,8,0,y
373,1996,NYG,6,10,0,n
374,1996,NYJ,1,15,0,n
375,1996,NEP,13,6,0,y
376,1996,NOS,3,13,0,n
377,1996,PHL,10,7,0,y
378,1996,PIT,11,7,0,y
379,1996,SFF,13,5,0,y
380,1996,SEA,7,9,0,n
381,1996,TBB,6,10,0,n
382,1996,TEN,8,8,0,n
383,1996,WSH,9,7,0,n
384,1997,ARZ,4,12,0,n
385,1997,ATL,7,9,0,n
386,1997,BAL,7,9,0,n
387,1997,BUF,6,10,0,n
388,1997,CAR,7,9,0,n
389,1997,CHI,4,12,0,n
390,1997,CIN,7,9,0,n
391,1997,CLE,0,0,0,n
392,1997,DAL,6,10,0,n
393,1997,DEN,16,4,0,y
394,1997,DET,9,8,0,y
395,1997,GBP,15,4,0,y
396,1997,HOU,0,0,0,n
397,1997,IND,3,13,0,n
398,1997,JAX,11,6,0,y
399,1997,KCC,13,4,0,y
400,1997,LAC,4,12,0,n
401,1997,LAR,5,11,0,n
402,1997,LVR,4,12,0,n
403,1997,MIA,9,8,0,y
404,1997,MIN,10,8,0,y
405,1997,NYG,10,7,0,y
406,1997,NYJ,9,7,0,n
407,1997,NEP,11,7,0,y
408,1997,NOS,6,10,0,n
409,1997,PHL,6,10,0,n
410,1997,PIT,12,6,0,y
411,1997,SFF,14,4,0,y
412,1997,SEA,8,8,0,n
413,1997,TBB,11,7,0,y
414,1997,TEN,8,8,0,n
415,1997,WSH,9,7,0,n
416,1998,ARZ,10,8,0,y
417,1998,ATL,16,3,0,y
418,1998,BAL,6,10,0,n
419,1998,BUF,10,7,0,y
420,1998,CAR,4,12,0,n
421,1998,CHI,4,12,0,n
422,1998,CIN,3,13,0,n
423,1998,CLE,0,0,0,n
424,1998,DAL,10,7,0,y
425,1998,DEN,17,2,0,y
426,1998,DET,5,11,0,n
427,1998,GBP,11,6,0,y
428,1998,HOU,0,0,0,n
429,1998,IND,3,13,0,n
430,1998,JAX,12,6,0,y
431,1998,KCC,7,9,0,n
432,1998,LAC,5,11,0,n
433,1998,LAR,4,12,0,n
434,1998,LVR,8,8,0,n
435,1998,MIA,11,7,0,y
436,1998,MIN,16,2,0,y
437,1998,NYG,8,8,0,n
438,1998,NYJ,13,5,0,y
439,1998,NEP,9,8,0,y
440,1998,NOS,6,10,0,n
441,1998,PHL,3,13,0,n
442,1998,PIT,7,9,0,n
443,1998,SFF,13,5,0,y
444,1998,SEA,8,8,0,n
445,1998,TBB,8,8,0,n
446,1998,TEN,8,8,0,n
447,1998,WSH,6,10,0,n
448,1999,ARZ,6,10,0,n
449,1999,ATL,5,11,0,n
450,1999,BAL,8,8,0,n
451,1999,BUF,11,6,0,y
452,1999,CAR,8,8,0,n
453,1999,CHI,6,10,0,n
454,1999,CIN,4,12,0,n
455,1999,CLE,2,14,0,n
456,1999,DAL,8,9,0,y
457,1999,DEN,6,10,0,n
458,1999,DET,8,9,0,y
459,1999,GBP,8,8,0,n
460,1999,HOU,0,0,0,n
461,1999,IND,13,4,0,y
462,1999,JAX,15,3,0,y
463,1999,KCC,9,7,0,n
464,1999,LAC,8,8,0,n
465,1999,LAR,16,3,0,y
466,1999,LVR,8,8,0,n
467,1999,MIA,10,8,0,y
468,1999,MIN,11,7,0,y
469,1999,NYG,7,9,0,n
470,1999,NYJ,8,8,0,n
471,1999,NEP,8,8,0,n
472,1999,NOS,3,13,0,n
473,1999,PHL,5,11,0,n
474,1999,PIT,6,10,0,n
475,1999,SFF,4,12,0,n
476,1999,SEA,9,8,0,y
477,1999,TBB,12,6,0,y
478,1999,TEN,16,4,0,y
479,1999,WSH,11,7,0,y
480,2000,ARZ,3,13,0,n
481,2000,ATL,4,12,0,n
482,2000,BAL,16,4,0,y
483,2000,BUF,8,8,0,n
484,2000,CAR,7,9,0,n
485,2000,CHI,5,11,0,n
486,2000,CIN,4,12,0,n
487,2000,CLE,3,13,0,n
488,2000,DAL,5,11,0,n
489,2000,DEN,11,6,0,y
490,2000,DET,9,7,0,n
491,2000,GBP,9,7,0,n
492,2000,HOU,0,0,0,n
493,2000,IND,10,7,0,y
494,2000,JAX,7,9,0,n
495,2000,KCC,7,9,0,n
496,2000,LAC,1,15,0,n
497,2000,LAR,10,7,0,y
498,2000,LVR,13,5,0,y
499,2000,MIA,12,6,0,y
500,2000,MIN,12,6,0,y
501,2000,NYG,14,5,0,y
502,2000,NYJ,9,7,0,n
503,2000,NEP,5,11,0,n
504,2000,NOS,11,7,0,y
505,2000,PHL,12,6,0,y
506,2000,PIT,9,7,0,n
507,2000,SFF,6,10,0,n
508,2000,SEA,6,10,0,n
509,2000,TBB,10,7,0,y
510,2000,TEN,13,4,0,y
511,2000,WSH,8,8,0,n
512,2001,ARZ,7,9,0,n
513,2001,ATL,7,9,0,n
514,2001,BAL,11,7,0,y
515,2001,BUF,3,13,0,n
516,2001,CAR,1,15,0,n
517,2001,CHI,13,4,0,y
518,2001,CIN,6,10,0,n
519,2001,CLE,7,9,0,n
520,2001,DAL,5,11,0,n
521,2001,DEN,8,8,0,n
522,2001,DET,2,14,0,n
523,2001,GBP,13,5,0,y
524,2001,HOU,0,0,0,n
525,2001,IND,6,10,0,n
526,2001,JAX,6,10,0,n
527,2001,KCC,6,10,0,n
528,2001,LAC,5,11,0,n
529,2001,LAR,16,3,0,y
530,2001,LVR,11,7,0,y
531,2001,MIA,11,6,0,y
532,2001,MIN,5,11,0,n
533,2001,NYG,7,9,0,n
534,2001,NYJ,10,7,0,y
535,2001,NEP,14,5,0,y
536,2001,NOS,7,9,0,n
537,2001,PHL,13,6,0,y
538,2001,PIT,14,4,0,y
539,2001,SFF,12,5,0,y
540,2001,SEA,9,7,0,n
541,2001,TBB,9,8,0,y
542,2001,TEN,7,9,0,n
543,2001,WSH,8,8,0,n
544,2002,ARZ,5,11,0,n
545,2002,ATL,10,8,0,y
546,2002,BAL,7,9,0,n
547,2002,BUF,8,8,0,n
548,2002,CAR,7,9,0,n
549,2002,CHI,4,12,0,n
550,2002,CIN,2,14,0,n
551,2002,CLE,9,8,0,y
552,2002,DAL,5,11,0,n
553,2002,DEN,9,7,0,n
554,2002,DET,3,13,0,n
555,2002,GBP,12,5,0,y
556,2002,HOU,3,13,0,n
557,2002,IND,10,7,0,y
558,2002,JAX,6,10,0,n
559,2002,KCC,8,8,0,n
560,2002,LAC,8,8,0,n
561,2002,LAR,7,9,0,n
562,2002,LVR,13,6,0,y
563,2002,MIA,9,7,0,n
564,2002,MIN,6,10,0,n
565,2002,NYG,10,7,0,y
566,2002,NYJ,10,8,0,y
567,2002,NEP,9,7,0,n
568,2002,NOS,9,7,0,n
569,2002,PHL,13,5,0,y
570,2002,PIT,13,5,0,y
571,2002,SFF,11,7,0,y
572,2002,SEA,7,9,0,n
573,2002,TBB,15,4,0,y
574,2002,TEN,12,6,0,y
575,2002,WSH,7,9,0,n
576,2003,ARZ,4,12,0,n
577,2003,ATL,5,11,0,n
578,2003,BAL,10,7,0,y
579,2003,BUF,6,10,0,n
580,2003,CAR,14,6,0,y
581,2003,CHI,7,9,0,n
582,2003,CIN,8,8,0,n
583,2003,CLE,5,11,0,n
584,2003,DAL,10,7,0,y
585,2003,DEN,10,7,0,y
586,2003,DET,5,11,0,n
587,2003,GBP,11,7,0,y
588,2003,HOU,5,11,0,n
589,2003,IND,14,5,0,y
590,2003,JAX,5,11,0,n
591,2003,KCC,13,4,0,y
592,2003,LAC,4,12,0,n
593,2003,LAR,11,6,0,y
594,2003,LVR,4,12,0,n
595,2003,MIA,10,6,0,n
596,2003,MIN,9,7,0,n
597,2003,NYG,4,12,0,n
598,2003,NYJ,6,10,0,n
599,2003,NEP,17,2,0,y
600,2003,NOS,8,8,0,n
601,2003,PHL,13,5,0,y
602,2003,PIT,7,9,0,n
603,2003,SFF,7,9,0,n
604,2003,SEA,10,7,0,y
605,2003,TBB,7,9,0,n
606,2003,TEN,13,5,0,y
607,2003,WSH,5,11,0,n
608,2004,ARZ,6,10,0,n
609,2004,ATL,12,6,0,y
610,2004,BAL,10,6,0,n
611,2004,BUF,9,7,0,n
612,2004,CAR,7,9,0,n
613,2004,CHI,5,11,0,n
614,2004,CIN,9,7,0,n
615,2004,CLE,4,12,0,n
616,2004,DAL,6,10,0,n
617,2004,DEN,10,7,0,y
618,2004,DET,6,10,0,n
619,2004,GBP,10,7,0,y
620,2004,HOU,7,9,0,n
621,2004,IND,13,5,0,y
622,2004,JAX,9,7,0,n
623,2004,KCC,7,9,0,n
624,2004,LAC,12,5,0,y
625,2004,LAR,9,9,0,y
626,2004,LVR,5,11,0,n
627,2004,MIA,4,12,0,n
628,2004,MIN,9,9,0,y
629,2004,NYG,6,10,0,n
630,2004,NYJ,11,7,0,y
631,2004,NEP,17,2,0,y
632,2004,NOS,8,8,0,n
633,2004,PHL,15,4,0,y
634,2004,PIT,14,4,0,y
635,2004,SFF,2,14,0,n
636,2004,SEA,9,8,0,y
637,2004,TBB,5,11,0,n
638,2004,TEN,5,11,0,n
639,2004,WSH,6,10,0,n
640,2005,ARZ,5,11,0,n
641,2005,ATL,8,8,0,n
642,2005,BAL,6,10,0,n
643,2005,BUF,5,11,0,n
644,2005,CAR,13,6,0,y
645,2005,CHI,11,6,0,y
646,2005,CIN,11,6,0,y
647,2005,CLE,6,10,0,n
648,2005,DAL,9,7,0,n
649,2005,DEN,14,4,0,y
650,2005,DET,5,11,0,n
651,2005,GBP,4,12,0,n
652,2005,HOU,2,14,0,n
653,2005,IND,14,3,0,y
654,2005,JAX,11,6,0,y
655,2005,KCC,10,6,0,n
656,2005,LAC,9,7,0,n
657,2005,LAR,6,10,0,n
658,2005,LVR,4,12,0,n
659,2005,MIA,9,7,0,n
660,2005,MIN,9,7,0,n
661,2005,NYG,11,6,0,y
662,2005,NYJ,4,12,0,n
663,2005,NEP,11,7,0,y
664,2005,NOS,3,13,0,n
665,2005,PHL,6,10,0,n
666,2005,PIT,16,4,0,y
667,2005,SFF,4,12,0,n
668,2005,SEA,15,4,0,y
669,2005,TBB,11,6,0,y
670,2005,TEN,4,12,0,n
671,2005,WSH,11,7,0,y
672,2006,ARZ,5,11,0,n
673,2006,ATL,7,9,0,n
674,2006,BAL,13,4,0,y
675,2006,BUF,7,9,0,n
676,2006,CAR,8,8,0,n
677,2006,CHI,15,4,0,y
678,2006,CIN,8,8,0,n
679,2006,CLE,4,12,0,n
680,2006,DAL,9,8,0,y
681,2006,DEN,9,7,0,n
682,2006,DET,3,13,0,n
683,2006,GBP,8,8,0,n
684,2006,HOU,6,10,0,n
685,2006,IND,16,4,0,y
686,2006,JAX,8,8,0,n
687,2006,KCC,9,8,0,y
688,2006,LAC,14,3,0,y
689,2006,LAR,8,8,0,n
690,2006,LVR,2,14,0,n
691,2006,MIA,6,10,0,n
692,2006,MIN,6,10,0,n
693,2006,NYG,8,9,0,y
694,2006,NYJ,10,7,0,y
695,2006,NEP,14,5,0,y
696,2006,NOS,11,7,0,y
697,2006,PHL,11,7,0,y
698,2006,PIT,8,8,0,n
699,2006,SFF,7,9,0,n
700,2006,SEA,10,8,0,y
701,2006,TBB,4,12,0,n
702,2006,TEN,8,8,0,n
703,2006,WSH,5,11,0,n
704,2007,ARZ,8,8,0,n
705,2007,ATL,4,12,0,n
706,2007,BAL,5,11,0,n
707,2007,BUF,7,9,0,n
708,2007,CAR,7,9,0,n
709,2007,CHI,7,9,0,n
710,2007,CIN,7,9,0,n
711,2007,CLE,10,6,0,n
712,2007,DAL,13,4,0,y
713,2007,DEN,7,9,0,n
714,2007,DET,7,9,0,n
715,2007,GBP,14,4,0,y
716,2007,HOU,8,8,0,n
717,2007,IND,13,4,0,y
718,2007,JAX,11,7,0,y
719,2007,KCC,4,12,0,n
720,2007,LAC,13,6,0,y
721,2007,LAR,3,13,0,n
722,2007,LVR,4,12,0,n
723,2007,MIA,1,15,0,n
724,2007,MIN,8,8,0,n
725,2007,NYG,14,6,0,y
726,2007,NYJ,4,12,0,n
727,2007,NEP,18,1,0,y
728,2007,NOS,7,9,0,n
729,2007,PHL,8,8,0,n
730,2007,PIT,11,6,0,y
731,2007,SFF,5,11,0,n
732,2007,SEA,11,7,0,y
733,2007,TBB,9,8,0,y
734,2007,TEN,10,7,0,y
735,2007,WSH,9,8,0,y
736,2008,ARZ,12,8,0,y
737,2008,ATL,11,6,0,y
738,2008,BAL,13,6,0,y
739,2008,BUF,7,9,0,n
740,2008,CAR,12,5,0,y
741,2008,CHI,9,7,0,n
742,2008,CIN,4,12,0,n
743,2008,CLE,5,11,0,n
744,2008,DAL,9,7,0,n
745,2008,DEN,8,8,0,n
746,2008,DET,0,16,0,n
747,2008,GBP,6,10,0,n
748,2008,HOU,8,8,0,n
749,2008,IND,12,5,0,y
750,2008,JAX,5,11,0,n
751,2008,KCC,2,14,0,n
752,2008,LAC,9,9,0,y
753,2008,LAR,2,14,0,n
754,2008,LVR,5,11,0,n
755,2008,MIA,11,6,0,y
756,2008,MIN,10,7,0,y
757,2008,NYG,12,5,0,y
758,2008,NYJ,9,7,0,n
759,2008,NEP,11,5,0,n
760,2008,NOS,8,8,0,n
761,2008,PHL,12,7,0,y
762,2008,PIT,14,5,0,y
763,2008,SFF,7,9,0,n
764,2008,SEA,4,12,0,n
765,2008,TBB,9,7,0,n
766,2008,TEN,13,4,0,y
767,2008,WSH,8,8,0,n
768,2009,ARZ,11,7,0,y
769,2009,ATL,9,7,0,n
770,2009,BAL,10,8,0,y
771,2009,BUF,6,10,0,n
772,2009,CAR,8,8,0,n
773,2009,CHI,7,9,0,n
774,2009,CIN,10,7,0,y
775,2009,CLE,6,10,0,n
776,2009,DAL,12,6,0,y
777,2009,DEN,8,8,0,n
778,2009,DET,2,14,0,n
779,2009,GBP,11,6,0,y
780,2009,HOU,9,7,0,n
781,2009,IND,16,3,0,y
782,2009,JAX,7,9,0,n
783,2009,KCC,4,12,0,n
784,2009,LAC,13,4,0,y
785,2009,LAR,1,15,0,n
786,2009,LVR,5,11,0,n
787,2009,MIA,7,9,0,n
788,2009,MIN,14,4,0,y
789,2009,NYG,8,8,0,n
790,2009,NYJ,11,8,0,y
791,2009,NEP,10,7,0,y
792,2009,NOS,16,3,0,y
793,2009,PHL,11,6,0,y
794,2009,PIT,7,9,0,n
795,2009,SFF,8,8,0,n
796,2009,SEA,5,11,0,n
797,2009,TBB,3,13,0,n
798,2009,TEN,8,8,0,n
799,2009,WSH,4,12,0,n
800,2010,ARZ,5,11,0,n
801,2010,ATL,13,4,0,y
802,2010,BAL,13,5,0,y
803,2010,BUF,4,12,0,n
804,2010,CAR,2,14,0,n
805,2010,CHI,12,6,0,y
806,2010,CIN,4,12,0,n
807,2010,CLE,6,10,0,n
808,2010,DAL,6,10,0,n
809,2010,DEN,4,12,0,n
810,2010,DET,6,10,0,n
811,2010,GBP,13,7,0,y
812,2010,HOU,6,10,0,n
813,2010,IND,10,7,0,y
814,2010,JAX,8,8,0,n
815,2010,KCC,10,7,0,y
816,2010,LAC,9,7,0,n
817,2010,LAR,7,9,0,n
818,2010,LVR,8,8,0,n
819,2010,MIA,7,9,0,n
820,2010,MIN,6,10,0,n
